[Cycles : Iteration : Population Size : Dimension] [  2 :  182 :  30 : 10] [Fitness : Time]: [	2559.5814783833611727 ,	0.6632814407348633]
[Cycles : Iteration : Population Size : Dimension] [  2 :  183 :  30 : 10] [Fitness : Time]: [	2559.5814783833611727 ,	0.6668844223022461]
[Cycles : Iteration : Population Size : Dimension] [  2 :  184 :  30 : 10] [Fitness : Time]: [	2559.5814783833611727 ,	0.6705079078674316]
[Cycles : Iteration : Population Size : Dimension] [  2 :  185 :  30 : 10] [Fitness : Time]: [	2559.5814783833611727 ,	0.6740798950195312]
[Cycles : Iteration : Population Size : Dimension] [  2 :  186 :  30 : 10] [Fitness : Time]: [	2559.5814783833611727 ,	0.6777410507202148]
[Cycles : Iteration : Population Size : Dimension] [  2 :  187 :  30 : 10] [Fitness : Time]: [	2559.5814783833611727 ,	0.6813329458236694]
[Cycles : Iteration : Population Size : Dimension] [  2 :  188 :  30 : 10] [Fitness : Time]: [	2559.5814783833611727 ,	0.6849733591079712]
[Cycles : Iteration : Population Size : Dimension] [  2 :  189 :  30 : 10] [Fitness : Time]: [	2559.5814783833611727 ,	0.6886315345764160]
[Cycles : Iteration : Population Size : Dimension] [  2 :  190 :  30 : 10] [Fitness : Time]: [	2559.5814783833611727 ,	0.6922219991683960]
[Cycles : Iteration : Population Size : Dimension] [  2 :  191 :  30 : 10] [Fitness : Time]: [	2559.5814783833611727 ,	0.6957749128341675]
[Cycles : Iteration : Population Size : Dimension] [  2 :  192 :  30 : 10] [Fitness : Time]: [	2559.5814783833611727 ,	0.6993654966354370]
[Cycles : Iteration : Population Size : Dimension] [  2 :  193 :  30 : 10] [Fitness : Time]: [	2559.5814783833611727 ,	0.7029933929443359]
