[Cycles : Iteration : Population Size : Dimension] [  2 :  177 :  30 :  5] [Fitness : Time]: [	-186.1319468329618303 ,	0.2389630079269409]
[Cycles : Iteration : Population Size : Dimension] [  2 :  178 :  30 :  5] [Fitness : Time]: [	-186.1319468329618303 ,	0.2396259307861328]
[Cycles : Iteration : Population Size : Dimension] [  2 :  179 :  30 :  5] [Fitness : Time]: [	-186.1319468329618303 ,	0.2415723800659180]
[Cycles : Iteration : Population Size : Dimension] [  2 :  180 :  30 :  5] [Fitness : Time]: [	-186.1319468329618303 ,	0.2428519725799561]
[Cycles : Iteration : Population Size : Dimension] [  2 :  181 :  30 :  5] [Fitness : Time]: [	-186.1319468329618303 ,	0.2435439825057983]
[Cycles : Iteration : Population Size : Dimension] [  2 :  182 :  30 :  5] [Fitness : Time]: [	-186.1319468329618303 ,	0.2454144954681396]
[Cycles : Iteration : Population Size : Dimension] [  2 :  183 :  30 :  5] [Fitness : Time]: [	-186.1319468329618303 ,	0.2466914653778076]
[Cycles : Iteration : Population Size : Dimension] [  2 :  184 :  30 :  5] [Fitness : Time]: [	-186.1319468329618303 ,	0.2473589181900024]
[Cycles : Iteration : Population Size : Dimension] [  2 :  185 :  30 :  5] [Fitness : Time]: [	-186.1319468329618303 ,	0.2492225170135498]
[Cycles : Iteration : Population Size : Dimension] [  2 :  186 :  30 :  5] [Fitness : Time]: [	-186.1319468329618303 ,	0.2505419254302979]
[Cycles : Iteration : Population Size : Dimension] [  2 :  187 :  30 :  5] [Fitness : Time]: [	-186.1319468329618303 ,	0.2518784999847412]
[Cycles : Iteration : Population Size : Dimension] [  2 :  188 :  30 :  5] [Fitness : Time]: [	-186.1319468329618303 ,	0.2531344890594482]
[Cycles : Iteration : Population Size : Dimension] [  2 :  189 :  30 :  5] [Fitness : Time]: [	-186.1319468329618303 ,	0.2544040679931641]
[Cycles : Iteration : Population Size : Dimension] [  2 :  190 :  30 :  5] [Fitness : Time]: [	-186.1319468329618303 ,	0.2551180124282837]
[Cycles : Iteration : Population Size : Dimension] [  2 :  191 :  30 :  5] [Fitness : Time]: [	-186.1319468329618303 ,	0.2569450139999390]
[Cycles : Iteration : Population Size : Dimension] [  2 :  192 :  30 :  5] [Fitness : Time]: [	-186.1319468329618303 ,	0.2581989765167236]
[Cycles : Iteration : Population Size : Dimension] [  2 :  193 :  30 :  5] [Fitness : Time]: [	-186.1319468329618303 ,	0.2590174674987793]
